1,Nguyen Van A,a1@student.ctu.edu.vn,01/01/1024,01/01/1024,12345,null
2,Tran Thi B,a2@student.ctu.edu.vn,01/01/1024,01/01/1024,12345,null
3,Nguyen Van A,a3@student.ctu.edu.vn,01/01/1024,01/01/1024,12345,null
4,Tran Thi B,a4@student.ctu.edu.vn,01/01/1024,01/01/1024,12345,null
5,Nguyen Van A,a5@student.ctu.edu.vn,01/01/1024,01/01/1024,12345,null
6,Tran Thi B,a6@student.ctu.edu.vn,01/01/1024,01/01/1024,12345,null
7,Nguyen Van A,a7@student.ctu.edu.vn,01/01/1024,01/01/1024,12345,null
8,Tran Thi B,a8@student.ctu.edu.vn,01/01/1024,01/01/1024,12345,null
9,Nguyen Van A,a9@student.ctu.edu.vn,01/01/1024,01/01/1024,12345,null
10,Tran Thi B,a10@student.ctu.edu.vn,01/01/1024,01/01/1024,12345,null
